Path,Transcript,Intended Words,Produced Words,IPA,Error Category,Error Labels,IPA_Transcript,Child,Grade
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_word_segment_3.wav,grinned,grinned,,,Disfluency Error,['Parental Aid'],gɹɪnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798236_word_segment_4.wav,ɡwɪnd,grinned,,ɡwɪnd,Phonological Error,['Consonant Substitution'],ɡwɪnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2,Kindergarten
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_word_segment_1.wav,Zade,Zade,,,Correct,[],zeɪd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_word_segment_2.wav,loved,loved,,,Correct,[],lʌvd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_word_segment_3.wav,playing,playing,,,Correct,[],pleɪɪŋ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798237_word_segment_4.wav,bæskbɔl,basketball,,bæskbɔl,Phonological Error,"['Consonant Omission', 'Vowel Omission']",bæskbɔl,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_1.wav,Each,Each,,,Correct,[],itʃ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_2.wav,day,day,,,Correct,[],deɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_3.wav,he,he,,,Correct,[],hʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_4.wav,would,would,,,Correct,[],ʌd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_5.wav,wear,wear,,,Correct,[],wɪʌɹ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_6.wav,his,his,,,Correct,[],hɪz,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_7.wav,gear,gear,,,Correct,[],gɪər,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_8.wav,and,and,,,Correct,[],ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_9.wav,head,head,,,Correct,[],hɛd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_10.wav,to,to,,,Correct,[],toʊ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_11.wav,the,the,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_12.wav,court,court,,,Correct,[],kɔɹt,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_13.wav,near,near,,,Correct,[],nɪər,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_14.wav,his,his,,,Correct,[],hɪz,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798238_word_segment_15.wav,home,home,,,Correct,[],hoʊm,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_1.wav,The,The,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_2.wav,air,air,,,Correct,[],ɛɹ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_3.wav,was,was,,,Correct,[],wʌz,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_4.wav,f.fɹɛʃ,fresh,,f.fɹɛʃ,Disfluency Error,['Stutter'],f.fɹɛʃ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_5.wav,and,and,,,Correct,[],ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_6.wav,Zade,Zade,,,Correct,[],zeɪd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_7.wav,felt,felt,,,Correct,[],fɛlt,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798239_word_segment_8.wav,eager,eager,,,Correct,[],ɪgʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_1.wav,on,One,on,ɑn,Mixed Error+Orthographic Sub.+Phonological,"['Phonological', 'Consonant Omission', 'Vowel Substitution']",ɑn,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_2.wav,sunny,sunny,,,Correct,[],sʌni,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_3.wav,day,day,,,Correct,[],deɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_4.wav,he,he,,,Correct,[],hʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_5.wav,was,was,,,Correct,[],wʌz,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_6.wav,əm,,,əm,Disfluency Error,['Interjection'],əm,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_7.wav,determinated,determined,determinated,dɪtɜɹmɪnetɪd,Mixed Error+Phonological,"['Vowel Insertion', 'Consonant Insertion']",dɪtɜɹmɪnetɪd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_8.wav,to,to,,,Correct,[],toʊ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_9.wav,perfect,perfect,,,Correct,[],pərfɛkt,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_10.wav,his,his,,,Correct,[],hɪz,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_11.wav,jump,jump,,,Correct,[],dʒʌmp,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798240_word_segment_12.wav,shot,shot,,,Correct,[],ʃɑt,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_1.wav,He,He,,,Correct,[],hʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_2.wav,took,took,,,Correct,[],tʊk,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_3.wav,a,a,,,Correct,[],ʌ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_4.wav,deep,deep,,,Correct,[],dip,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_5.wav,breath,breath,,,Correct,[],bɹɛθ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_6.wav,focused,focused,,,Correct,[],foʊkʌst,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_7.wav,and,and,,,Correct,[],ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_8.wav,leaped,leapt,leaped,lipt,Mixed Error+Orthographic Sub.+Phonological,"['Phonological', 'Vowel Substitution']",lipt,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_9.wav,into,into,,,Correct,[],ɪntu,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_10.wav,the,the,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798241_word_segment_11.wav,air,air,,,Correct,[],ɛɹ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_1.wav,The,The,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_2.wav,ball,ball,,,Correct,[],bɑl,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_3.wav,scored,soared,scored,skɔɹd,Mixed Error+Orthographic Sub.+Phonological+Disfluency Error,"['Phonological', 'Consonant Insertion', 'Repair']",skɔɹd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_4.wav,soared,soared,,,Correct,[],sɔɹd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_5.wav,and,and,,,Correct,[],ʌnd,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_6.wav,went,went,,,Correct,[],wɛnt,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_7.wav,through,through,,,Correct,[],θɹu,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_8.wav,the,the,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_9.wav,hoop,hoop,,,Correct,[],hup,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_10.wav,without,without,,,Correct,[],wɪðaʊt,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_11.wav,touching,touching,,,Correct,[],tʌtʃɪŋ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
processed_audio/annotated_word_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798242_word_segment_12.wav,the,the,,,Correct,[],ðɪ,ukKF4sCANzgmD16fyjMyO7VwR2A2,2nd Grade
